,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
3135,パレ・ドール九段下,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩4分,27,12階建,9,87000,8000,87000,87000,1K,22.54,東京メトロ東西線,歩4分
3136,パレ・ドール九段下,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩4分,27,12階建,9,100000,10500,0,100000,1K,22.54,東京メトロ東西線,歩4分
3147,リブクオーレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩5分,4,14階建,2,124000,10000,124000,124000,1K,27.39,都営新宿線,歩5分
3148,リブクオーレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩5分,4,14階建,5,128000,10000,128000,128000,1K,27.39,都営新宿線,歩5分
3149,リブクオーレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩5分,4,14階建,9,129000,10000,129000,129000,ワンルーム,26.08,都営新宿線,歩5分
3150,リブクオーレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩5分,4,14階建,13,135000,10000,135000,135000,ワンルーム,26.08,都営新宿線,歩5分
3151,リブクオーレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩5分,4,14階建,13,301000,15000,301000,301000,2LDK,54.84,都営新宿線,歩5分
3162,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,8,89000,8500,0,178000,1K,22.87,東京メトロ半蔵門線,歩2分
3163,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,10,100000,12000,0,100000,1K,22.77,東京メトロ半蔵門線,歩2分
3164,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,5,105000,10000,0,105000,1K,22.77,東京メトロ半蔵門線,歩2分
3165,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,5,99000,18000,0,99000,1K,23.01,東京メトロ半蔵門線,歩2分
3166,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,2,117000,10500,0,117000,1K,22.77,東京メトロ半蔵門線,歩2分
3168,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,4,118000,10500,0,118000,1K,22.77,東京メトロ半蔵門線,歩2分
3169,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,20,地下1地上14階建,6,119000,10500,0,119000,1K,23.01,東京メトロ半蔵門線,歩2分
3213,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,18,12階建,12,108000,0,108000,108000,ワンルーム,31.01,ＪＲ山手線,歩7分
3214,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,18,12階建,12,109000,0,109000,109000,1DK,31.01,ＪＲ山手線,歩7分
3215,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,18,12階建,10,99000,16000,0,99000,ワンルーム,31.01,ＪＲ山手線,歩7分
3222,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,6,164000,10000,164000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3223,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,7,166000,10000,166000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3224,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,11,167000,10000,167000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3225,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,7,169000,10000,169000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3226,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,6,169000,10000,169000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3227,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,11,172000,10000,172000,0,ワンルーム,36.54,東京メトロ有楽町線,歩5分
3229,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,5,206000,10000,206000,0,1LDK,42.9,東京メトロ有楽町線,歩5分
3230,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,18,15階建,6,208000,10000,208000,0,1LDK,42.9,東京メトロ有楽町線,歩5分
3249,ステラ岩本町,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩2分,3,5階建,4,105000,5500,0,0,ワンルーム,18.8,都営新宿線,歩2分
3264,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,31,419000,20000,1257000,0,1LDK,74.26,東京メトロ銀座線,歩1分
3266,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,33,422000,20000,1266000,0,1LDK,71.49,東京メトロ銀座線,歩1分
3268,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,30,434000,20000,1302000,0,1LDK,74.26,東京メトロ銀座線,歩1分
3269,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,26,435000,20000,1305000,0,1LDK,74.26,東京メトロ銀座線,歩1分
3270,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,35,439000,20000,1317000,0,1LDK,74.26,東京メトロ銀座線,歩1分
3271,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,32,446000,20000,1338000,0,1LDK,75.5,東京メトロ銀座線,歩1分
3272,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,34,448000,20000,1344000,0,1LDK,75.5,東京メトロ銀座線,歩1分
3273,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,35,449000,20000,1347000,0,1LDK,75.5,東京メトロ銀座線,歩1分
3275,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,26,561000,25000,1683000,0,2LDK,93.97,東京メトロ銀座線,歩1分
3276,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,31,610000,25000,1830000,0,2LDK,98.73,東京メトロ銀座線,歩1分
3277,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,36,619000,25000,1857000,0,2LDK,98.73,東京メトロ銀座線,歩1分
3278,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,22,38階建,29,641000,25000,1282000,641000,2LDK,98.73,東京メトロ銀座線,歩1分
3318,グラーサ三番町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,19,6階建,2,121500,8500,0,121500,ワンルーム,31.13,東京メトロ半蔵門線,歩5分
3321,ガラ・ステージ神田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,23,11階建,6,94000,9000,94000,188000,1K,22.72,東京メトロ半蔵門線,歩4分
3330,スカイコート神田第3,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩6分,19,12階建,5,89000,0,0,0,1K,22.57,都営新宿線,歩6分
3333,ＪＲ総武線 水道橋駅 7階建 築17年,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ総武線/水道橋駅 歩7分,17,7階建,2,121500,10500,0,121500,1K,22.5,ＪＲ総武線,歩7分
3351,ユーキメゾン一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,23,9階建,3,127000,8000,127000,127000,1K,30.38,東京メトロ半蔵門線,歩2分
3354,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,8,107000,10000,0,0,1K,25.54,都営新宿線,歩5分
3355,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,9,109000,10000,109000,109000,1K,25.54,都営新宿線,歩5分
3356,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,8,113000,10000,113000,113000,1K,25.54,都営新宿線,歩5分
3357,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,8,118000,10000,118000,118000,1K,25.54,都営新宿線,歩5分
3358,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,9,120000,10000,120000,120000,1K,25.54,都営新宿線,歩5分
3359,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,8,121000,10000,121000,121000,1K,25.54,都営新宿線,歩5分
3360,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,9,123000,10000,123000,123000,1K,25.54,都営新宿線,歩5分
3375,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,23,11階建,5,81000,12000,0,81000,1K,22.62,都営新宿線,歩7分
3376,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,23,11階建,10,103000,10500,0,103000,1K,22.59,都営新宿線,歩7分
3377,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,23,11階建,5,108000,10500,0,108000,1K,22.62,都営新宿線,歩7分
3378,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,23,11階建,11,109000,10500,0,109000,1K,22.65,都営新宿線,歩7分
3387,東京メトロ半蔵門線 神保町駅 9階建 築24年,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩1分,24,9階建,2,130000,14000,0,130000,1K,33.36,東京メトロ半蔵門線,歩1分
3400,コンフォリア二番町,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩1分,18,15階建,7,164000,10000,164000,0,ワンルーム,36.54,東京メトロ有楽町線,歩1分
3435,都営新宿線 岩本町駅 13階建 築12年,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,12,13階建,6,160000,0,160000,160000,1LDK,40.3,都営新宿線,歩5分
3441,東京メトロ半蔵門線 大手町駅 10階建 築3年,賃貸マンション,東京都千代田区神田錦町２,東京メトロ半蔵門線/大手町駅 歩6分,3,10階建,4,183000,17000,183000,183000,1LDK,43.34,東京メトロ半蔵門線,歩6分
3447,パーク・ノヴァ九段,賃貸マンション,東京都千代田区九段南４,ＪＲ中央線/市ケ谷駅 歩5分,35,地下1地上7階建,5,145000,10000,290000,145000,ワンルーム,46.08,ＪＲ中央線,歩5分
3450,四番町プラザ,賃貸マンション,東京都千代田区四番町,東京メトロ有楽町線/麹町駅 歩4分,29,地下2地上12階建,6,340000,10000,340000,340000,1LDK,84.33,東京メトロ有楽町線,歩4分
3456,都営新宿線 岩本町駅 9階建 築3年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,3,9階建,9,115000,10000,115000,115000,1K,25.54,都営新宿線,歩5分
3465,朝日三番町プラザ,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,38,7階建,2,80000,6000,80000,80000,ワンルーム,23.49,東京メトロ半蔵門線,歩5分
3466,朝日三番町プラザ,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,38,7階建,2,140000,10000,140000,140000,1LDK,34.81,東京メトロ半蔵門線,歩5分
3474,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,2,16階建,6,145000,10000,145000,145000,1K,28.44,東京メトロ丸ノ内線,歩4分
3475,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,2,16階建,6,160000,10000,160000,160000,1K,28.44,東京メトロ丸ノ内線,歩4分
3476,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,2,16階建,16,690000,0,690000,690000,3LDK,71.78,東京メトロ丸ノ内線,歩4分
3477,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,2,16階建,16,690000,32040,690000,690000,3LDK,71.78,東京メトロ丸ノ内線,歩4分
3489,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,2,65000,0,65000,65000,ワンルーム,17.37,ＪＲ中央線,歩6分
3490,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,5,65000,5000,65000,0,ワンルーム,17.56,ＪＲ中央線,歩6分
3491,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,2,68000,4800,68000,68000,1K,18.43,ＪＲ中央線,歩6分
3492,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,3,72000,6000,0,0,ワンルーム,17.56,ＪＲ中央線,歩6分
3493,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,3,70000,9000,0,0,ワンルーム,17.37,ＪＲ中央線,歩6分
3494,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,43,8階建,6,86000,10000,0,0,ワンルーム,24.55,ＪＲ中央線,歩6分
3508,都営新宿線 市ケ谷駅 8階建 築43年,賃貸マンション,東京都千代田区九段南３,都営新宿線/市ケ谷駅 歩6分,43,8階建,2,65000,9000,65000,0,ワンルーム,17.37,都営新宿線,歩6分
3525,東京メトロ東西線 九段下駅 地下1地上12階建 築21年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩7分,21,地下1地上12階建,4,90000,8000,90000,90000,1K,23.38,東京メトロ東西線,歩7分
3526,東京メトロ東西線 九段下駅 地下1地上12階建 築21年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩7分,21,地下1地上12階建,2,90000,8000,90000,90000,1K,22.58,東京メトロ東西線,歩7分
3537,東京ロイヤルプラザ,賃貸マンション,東京都千代田区内神田１,ＪＲ山手線/神田駅 歩5分,45,11階建,8,78000,2000,0,78000,ワンルーム,17.05,ＪＲ山手線,歩5分
3540,東京メトロ南北線 市ケ谷駅 7階建 築38年,賃貸マンション,東京都千代田区三番町,東京メトロ南北線/市ケ谷駅 歩9分,38,7階建,7,110000,8000,110000,110000,ワンルーム,23.49,東京メトロ南北線,歩9分
3546,東建ニューハイツ九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分,44,9階建,3,85000,5000,85000,85000,ワンルーム,23.23,東京メトロ東西線,歩2分
3549,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,21,10階建,5,95000,8000,95000,0,1K,22.71,東京メトロ有楽町線,歩8分
3550,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,21,10階建,6,98000,8000,98000,0,1K,23.3,東京メトロ有楽町線,歩8分
3551,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,21,10階建,5,98000,8000,98000,98000,ワンルーム,22.98,東京メトロ有楽町線,歩8分
3552,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,21,10階建,5,99000,8000,99000,0,1K,22.71,東京メトロ有楽町線,歩8分
3553,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,21,10階建,6,100000,8000,100000,100000,1K,23.3,東京メトロ有楽町線,歩8分
3564,クラッシィハウス大手町,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,2,16階建,6,145000,10000,145000,145000,ワンルーム,28.44,東京メトロ丸ノ内線,歩4分
3576,東京メトロ半蔵門線 半蔵門駅 18階建 築5年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,5,18階建,6,500000,57000,1000000,500000,3LDK,94.24,東京メトロ半蔵門線,歩2分
3577,東京メトロ半蔵門線 半蔵門駅 18階建 築5年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,5,18階建,6,520000,57600,1040000,520000,3LDK,95.23,東京メトロ半蔵門線,歩2分
3588,東京メトロ有楽町線 市ケ谷駅 7階建 築25年,賃貸マンション,東京都千代田区九段南３,東京メトロ有楽町線/市ケ谷駅 歩9分,25,7階建,6,93000,7000,93000,93000,1K,21.57,東京メトロ有楽町線,歩9分
3608,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,1,地下1地上14階建,8,250000,10000,250000,250000,1LDK,45.03,東京メトロ半蔵門線,歩4分
3609,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,1,地下1地上14階建,3,1978000,0,1868000,0,1K,261.55,東京メトロ半蔵門線,歩4分
3610,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,1,地下1地上14階建,2,2154500,0,2927000,0,1K,284.9,東京メトロ半蔵門線,歩4分
3656,ＪＲ中央線 水道橋駅 14階建 築4年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/水道橋駅 歩5分,4,14階建,13,133000,10000,133000,133000,ワンルーム,26.08,ＪＲ中央線,歩5分
3659,ＪＲ中央線 水道橋駅 14階建 築4年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/水道橋駅 歩5分,4,14階建,13,301000,15000,301000,301000,2LDK,54.86,ＪＲ中央線,歩5分
3690,東京メトロ有楽町線 市ケ谷駅 7階建 築33年,賃貸マンション,東京都千代田区九段南３,東京メトロ有楽町線/市ケ谷駅 歩7分,33,7階建,5,229300,22000,0,0,ワンルーム,41.95,東京メトロ有楽町線,歩7分
3703,ＪＲ山手線 秋葉原駅 10階建 築22年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,22,10階建,9,102000,0,102000,102000,1K,28.78,ＪＲ山手線,歩5分
3708,ガレリアコルテ六番町,賃貸マンション,東京都千代田区六番町,東京メトロ南北線/四ツ谷駅 歩4分,23,8階建,8,643000,0,643000,643000,3LDK,106.27,東京メトロ南北線,歩4分
3711,東京メトロ半蔵門線 神保町駅 6階建 築63年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩6分,63,6階建,3,68000,4000,68000,68000,ワンルーム,13.24,東京メトロ半蔵門線,歩6分
3714,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,21,350000,0,700000,0,ワンルーム,54.25,都営大江戸線,歩11分
3715,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,25,470000,0,940000,0,1LDK,69.27,都営大江戸線,歩11分
3716,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,27,620000,0,1240000,0,2LDK,93.7,都営大江戸線,歩11分
3717,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,1,620000,0,1240000,0,2LDK,93.7,都営大江戸線,歩11分
3718,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,32,640000,0,1280000,0,2LDK,89.93,都営大江戸線,歩11分
3721,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,25,950000,0,1900000,0,3LDK,130.5,都営大江戸線,歩11分
3722,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,20,32階建,32,1560000,0,3120000,0,3LDK,199.02,都営大江戸線,歩11分
3749,東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築6年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分,6,地下2地上12階建,5,248000,20000,248000,0,2LDK,44.98,東京メトロ丸ノ内線,歩4分
3750,東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築6年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分,6,地下2地上12階建,5,252000,20000,252000,0,2LDK,44.98,東京メトロ丸ノ内線,歩4分
3759,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,10,地下2地上40階建,15,294000,15000,294000,0,1LDK,42.16,ＪＲ中央線,歩3分
3760,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,10,地下2地上40階建,11,365000,20000,365000,730000,2LDK,55.97,ＪＲ中央線,歩3分
3761,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,10,地下2地上40階建,29,598000,0,1196000,598000,2SLDK,74.77,ＪＲ中央線,歩3分
3769,東京メトロ東西線 飯田橋駅 地下2地上40階建 築10年,賃貸マンション,東京都千代田区富士見２,東京メトロ東西線/飯田橋駅 歩10分,10,地下2地上40階建,32,350000,30000,350000,175000,1LDK,50.18,東京メトロ東西線,歩10分
3780,ザ・パークハウスグラン千鳥ヶ淵,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,9,地下2地上14階建,2,860000,0,1720000,860000,3LDK,108.53,東京メトロ半蔵門線,歩7分
3782,ザ・パークハウスグラン千鳥ヶ淵,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,9,地下2地上14階建,2,890000,0,1780000,890000,3LDK,120.65,東京メトロ半蔵門線,歩7分
3792,ラクサ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩4分,4,10階建,9,138000,14000,0,138000,1K,27.44,東京メトロ銀座線,歩4分
3793,ラクサ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩4分,4,10階建,10,269000,19000,269000,269000,2LDK,52.95,東京メトロ銀座線,歩4分
3798,ＮＢ秋葉原,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,5,12階建,2,192000,8000,192000,192000,2LDK,46.1,ＪＲ総武線,歩5分
3799,ＮＢ秋葉原,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,5,12階建,10,204000,8000,204000,204000,2LDK,46.1,ＪＲ総武線,歩5分
3810,グランスイート六番町,賃貸マンション,東京都千代田区六番町,ＪＲ中央線/四ツ谷駅 歩4分,16,地下2地上9階建,1,350000,0,700000,350000,2LDK,72.34,ＪＲ中央線,歩4分
3813,カーサフジマ,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩3分,43,9階建,3,300000,27200,300000,0,3LDK,76.59,都営新宿線,歩3分
3816,ＪＲ山手線 神田駅 13階建 築9年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,9,13階建,4,130000,10000,0,130000,1K,26.32,ＪＲ山手線,歩3分
3817,ＪＲ山手線 神田駅 13階建 築9年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,9,13階建,7,265000,15000,265000,265000,2LDK,52.18,ＪＲ山手線,歩3分
3822,KDXレジデンス神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,9,13階建,3,130000,10000,130000,130000,1K,26.32,ＪＲ山手線,歩3分
3831,ＪＲ山手線 神田駅 12階建 新築,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,0,12階建,8,140000,15000,140000,0,1DK,24.54,ＪＲ山手線,歩4分
3832,ＪＲ山手線 神田駅 12階建 新築,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,0,12階建,9,177000,15000,177000,0,1DK,30.51,ＪＲ山手線,歩4分
3846,プレミエール一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,17,地下1地上14階建,10,475000,20000,475000,0,2LDK,81.51,東京メトロ半蔵門線,歩2分
3852,東京メトロ千代田線 新御茶ノ水駅 地下2地上19階建 築15年,賃貸マンション,東京都千代田区神田須田町１,東京メトロ千代田線/新御茶ノ水駅 歩6分,15,地下2地上19階建,6,386000,0,772000,0,2LDK,63.8,東京メトロ千代田線,歩6分
3858,ＪＲ中央線 神田駅 12階建 築3年,賃貸マンション,東京都千代田区神田多町２,ＪＲ中央線/神田駅 歩3分,3,12階建,10,379000,20000,0,379000,2LDK,61.89,ＪＲ中央線,歩3分
3859,ＪＲ中央線 神田駅 12階建 築3年,賃貸マンション,東京都千代田区神田多町２,ＪＲ中央線/神田駅 歩3分,3,12階建,12,409000,20000,0,409000,2LDK,61.89,ＪＲ中央線,歩3分
