,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
3169,パレステュディオ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,築20年,地下1地上14階建,6階,11.9万円,10500円,-,11.9万円,1K,23.01m2
3213,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,築18年,12階建,12階,10.8万円,-,10.8万円,10.8万円,ワンルーム,31.01m2
3214,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,築18年,12階建,12階,10.9万円,-,10.9万円,10.9万円,1DK,31.01m2
3215,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩7分,築18年,12階建,10階,9.9万円,16000円,-,9.9万円,ワンルーム,31.01m2
3222,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,6階,16.4万円,10000円,16.4万円,-,ワンルーム,36.54m2
3223,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,7階,16.6万円,10000円,16.6万円,-,ワンルーム,36.54m2
3224,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,11階,16.7万円,10000円,16.7万円,-,ワンルーム,36.54m2
3225,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,7階,16.9万円,10000円,16.9万円,-,ワンルーム,36.54m2
3226,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,6階,16.9万円,10000円,16.9万円,-,ワンルーム,36.54m2
3227,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,11階,17.2万円,10000円,17.2万円,-,ワンルーム,36.54m2
3229,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,5階,20.6万円,10000円,20.6万円,-,1LDK,42.9m2
3230,東京メトロ有楽町線 麹町駅 15階建 築18年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築18年,15階建,6階,20.8万円,10000円,20.8万円,-,1LDK,42.9m2
3249,ステラ岩本町,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩2分,築3年,5階建,4階,10.5万円,5500円,-,-,ワンルーム,18.8m2
3264,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,31階,41.9万円,20000円,125.7万円,-,1LDK,74.26m2
3266,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,33階,42.2万円,20000円,126.6万円,-,1LDK,71.49m2
3268,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,30階,43.4万円,20000円,130.2万円,-,1LDK,74.26m2
3269,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,26階,43.5万円,20000円,130.5万円,-,1LDK,74.26m2
3270,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,35階,43.9万円,20000円,131.7万円,-,1LDK,74.26m2
3271,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,32階,44.6万円,20000円,133.8万円,-,1LDK,75.5m2
3272,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,34階,44.8万円,20000円,134.4万円,-,1LDK,75.5m2
3273,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,35階,44.9万円,20000円,134.7万円,-,1LDK,75.5m2
3275,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,26階,56.1万円,25000円,168.3万円,-,2LDK,93.97m2
3276,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,31階,61万円,25000円,183万円,-,2LDK,98.73m2
3277,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,36階,61.9万円,25000円,185.7万円,-,2LDK,98.73m2
3278,プルデンシャルタワーレジデンス,賃貸マンション,東京都千代田区永田町２,東京メトロ銀座線/赤坂見附駅 歩1分,築22年,38階建,29階,64.1万円,25000円,128.2万円,64.1万円,2LDK,98.73m2
3318,グラーサ三番町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,築19年,6階建,2階,12.15万円,8500円,-,12.15万円,ワンルーム,31.13m2
3321,ガラ・ステージ神田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,築23年,11階建,6階,9.4万円,9000円,9.4万円,18.8万円,1K,22.72m2
3330,スカイコート神田第3,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩6分,築19年,12階建,5階,8.9万円,-,-,-,1K,22.57m2
3333,ＪＲ総武線 水道橋駅 7階建 築17年,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ総武線/水道橋駅 歩7分,築17年,7階建,2階,12.15万円,10500円,-,12.15万円,1K,22.5m2
3351,ユーキメゾン一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築23年,9階建,3階,12.7万円,8000円,12.7万円,12.7万円,1K,30.38m2
3354,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,8階,10.7万円,10000円,-,-,1K,25.54m2
3355,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,9階,10.9万円,10000円,10.9万円,10.9万円,1K,25.54m2
3356,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,8階,11.3万円,10000円,11.3万円,11.3万円,1K,25.54m2
3357,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,8階,11.8万円,10000円,11.8万円,11.8万円,1K,25.54m2
3358,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,9階,12万円,10000円,12万円,12万円,1K,25.54m2
3359,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,8階,12.1万円,10000円,12.1万円,12.1万円,1K,25.54m2
3360,La Perla岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,9階,12.3万円,10000円,12.3万円,12.3万円,1K,25.54m2
3375,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,築23年,11階建,5階,8.1万円,12000円,-,8.1万円,1K,22.62m2
3376,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,築23年,11階建,10階,10.3万円,10500円,-,10.3万円,1K,22.59m2
3377,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,築23年,11階建,5階,10.8万円,10500円,-,10.8万円,1K,22.62m2
3378,都営新宿線 岩本町駅 11階建 築23年,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩7分,築23年,11階建,11階,10.9万円,10500円,-,10.9万円,1K,22.65m2
3387,東京メトロ半蔵門線 神保町駅 9階建 築24年,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩1分,築24年,9階建,2階,13万円,14000円,-,13万円,1K,33.36m2
3400,コンフォリア二番町,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩1分,築18年,15階建,7階,16.4万円,10000円,16.4万円,-,ワンルーム,36.54m2
3435,都営新宿線 岩本町駅 13階建 築12年,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築12年,13階建,6階,16万円,-,16万円,16万円,1LDK,40.3m2
3441,東京メトロ半蔵門線 大手町駅 10階建 築3年,賃貸マンション,東京都千代田区神田錦町２,東京メトロ半蔵門線/大手町駅 歩6分,築3年,10階建,4階,18.3万円,17000円,18.3万円,18.3万円,1LDK,43.34m2
3447,パーク・ノヴァ九段,賃貸マンション,東京都千代田区九段南４,ＪＲ中央線/市ケ谷駅 歩5分,築35年,地下1地上7階建,5階,14.5万円,10000円,29万円,14.5万円,ワンルーム,46.08m2
3450,四番町プラザ,賃貸マンション,東京都千代田区四番町,東京メトロ有楽町線/麹町駅 歩4分,築29年,地下2地上12階建,6階,34万円,10000円,34万円,34万円,1LDK,84.33m2
3456,都営新宿線 岩本町駅 9階建 築3年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,築3年,9階建,9階,11.5万円,10000円,11.5万円,11.5万円,1K,25.54m2
3465,朝日三番町プラザ,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,築38年,7階建,2階,8万円,6000円,8万円,8万円,ワンルーム,23.49m2
3466,朝日三番町プラザ,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,築38年,7階建,2階,14万円,10000円,14万円,14万円,1LDK,34.81m2
3474,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,築2年,16階建,6階,14.5万円,10000円,14.5万円,14.5万円,1K,28.44m2
3475,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,築2年,16階建,6階,16万円,10000円,16万円,16万円,1K,28.44m2
3476,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,築2年,16階建,16階,69万円,-,69万円,69万円,3LDK,71.78m2
3477,東京メトロ丸ノ内線 大手町駅 16階建 築2年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,築2年,16階建,16階,69万円,32040円,69万円,69万円,3LDK,71.78m2
3489,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,2階,6.5万円,-,6.5万円,6.5万円,ワンルーム,17.37m2
3490,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,5階,6.5万円,5000円,6.5万円,-,ワンルーム,17.56m2
3491,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,2階,6.8万円,4800円,6.8万円,6.8万円,1K,18.43m2
3492,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,3階,7.2万円,6000円,-,-,ワンルーム,17.56m2
3493,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,3階,7万円,9000円,-,-,ワンルーム,17.37m2
3494,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,築43年,8階建,6階,8.6万円,10000円,-,-,ワンルーム,24.55m2
3508,都営新宿線 市ケ谷駅 8階建 築43年,賃貸マンション,東京都千代田区九段南３,都営新宿線/市ケ谷駅 歩6分,築43年,8階建,2階,6.5万円,9000円,6.5万円,-,ワンルーム,17.37m2
3525,東京メトロ東西線 九段下駅 地下1地上12階建 築21年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩7分,築21年,地下1地上12階建,4階,9万円,8000円,9万円,9万円,1K,23.38m2
3526,東京メトロ東西線 九段下駅 地下1地上12階建 築21年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩7分,築21年,地下1地上12階建,2階,9万円,8000円,9万円,9万円,1K,22.58m2
3537,東京ロイヤルプラザ,賃貸マンション,東京都千代田区内神田１,ＪＲ山手線/神田駅 歩5分,築45年,11階建,8階,7.8万円,2000円,-,7.8万円,ワンルーム,17.05m2
3540,東京メトロ南北線 市ケ谷駅 7階建 築38年,賃貸マンション,東京都千代田区三番町,東京メトロ南北線/市ケ谷駅 歩9分,築38年,7階建,7階,11万円,8000円,11万円,11万円,ワンルーム,23.49m2
3546,東建ニューハイツ九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分,築44年,9階建,3階,8.5万円,5000円,8.5万円,8.5万円,ワンルーム,23.23m2
3549,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築21年,10階建,5階,9.5万円,8000円,9.5万円,-,1K,22.71m2
3550,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築21年,10階建,6階,9.8万円,8000円,9.8万円,-,1K,23.3m2
3551,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築21年,10階建,5階,9.8万円,8000円,9.8万円,9.8万円,ワンルーム,22.98m2
3552,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築21年,10階建,5階,9.9万円,8000円,9.9万円,-,1K,22.71m2
3553,プライムアーバン番町,賃貸マンション,東京都千代田区九段南２,東京メトロ有楽町線/市ケ谷駅 歩8分,築21年,10階建,6階,10万円,8000円,10万円,10万円,1K,23.3m2
3564,クラッシィハウス大手町,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩4分,築2年,16階建,6階,14.5万円,10000円,14.5万円,14.5万円,ワンルーム,28.44m2
3576,東京メトロ半蔵門線 半蔵門駅 18階建 築5年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築5年,18階建,6階,50万円,57000円,100万円,50万円,3LDK,94.24m2
3577,東京メトロ半蔵門線 半蔵門駅 18階建 築5年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築5年,18階建,6階,52万円,57600円,104万円,52万円,3LDK,95.23m2
3588,東京メトロ有楽町線 市ケ谷駅 7階建 築25年,賃貸マンション,東京都千代田区九段南３,東京メトロ有楽町線/市ケ谷駅 歩9分,築25年,7階建,6階,9.3万円,7000円,9.3万円,9.3万円,1K,21.57m2
3608,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,築1年,地下1地上14階建,8階,25万円,10000円,25万円,25万円,1LDK,45.03m2
3609,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,築1年,地下1地上14階建,3階,197.8万円,-,186.8万円,-,1K,261.55m2
3610,東京メトロ半蔵門線 神保町駅 地下1地上14階建 築1年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩4分,築1年,地下1地上14階建,2階,215.45万円,-,292.7万円,-,1K,284.9m2
3656,ＪＲ中央線 水道橋駅 14階建 築4年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/水道橋駅 歩5分,築4年,14階建,13階,13.3万円,10000円,13.3万円,13.3万円,ワンルーム,26.08m2
3659,ＪＲ中央線 水道橋駅 14階建 築4年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/水道橋駅 歩5分,築4年,14階建,13階,30.1万円,15000円,30.1万円,30.1万円,2LDK,54.86m2
3690,東京メトロ有楽町線 市ケ谷駅 7階建 築33年,賃貸マンション,東京都千代田区九段南３,東京メトロ有楽町線/市ケ谷駅 歩7分,築33年,7階建,5階,22.93万円,22000円,-,-,ワンルーム,41.95m2
3703,ＪＲ山手線 秋葉原駅 10階建 築22年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築22年,10階建,9階,10.2万円,-,10.2万円,10.2万円,1K,28.78m2
3708,ガレリアコルテ六番町,賃貸マンション,東京都千代田区六番町,東京メトロ南北線/四ツ谷駅 歩4分,築23年,8階建,8階,64.3万円,-,64.3万円,64.3万円,3LDK,106.27m2
3711,東京メトロ半蔵門線 神保町駅 6階建 築63年,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩6分,築63年,6階建,3階,6.8万円,4000円,6.8万円,6.8万円,ワンルーム,13.24m2
3714,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,21階,35万円,-,70万円,-,ワンルーム,54.25m2
3715,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,25階,47万円,-,94万円,-,1LDK,69.27m2
3716,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,27階,62万円,-,124万円,-,2LDK,93.7m2
3717,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,1階,62万円,-,124万円,-,2LDK,93.7m2
3718,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,32階,64万円,-,128万円,-,2LDK,89.93m2
3721,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,25階,95万円,-,190万円,-,3LDK,130.5m2
3722,ラ・トゥール千代田,賃貸マンション,東京都千代田区西神田３,都営大江戸線/飯田橋駅 歩11分,築20年,32階建,32階,156万円,-,312万円,-,3LDK,199.02m2
3749,東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築6年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分,築6年,地下2地上12階建,5階,24.8万円,20000円,24.8万円,-,2LDK,44.98m2
3750,東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築6年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分,築6年,地下2地上12階建,5階,25.2万円,20000円,25.2万円,-,2LDK,44.98m2
3759,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,築10年,地下2地上40階建,15階,29.4万円,15000円,29.4万円,-,1LDK,42.16m2
3760,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,築10年,地下2地上40階建,11階,36.5万円,20000円,36.5万円,73万円,2LDK,55.97m2
3761,パークコート千代田富士見ザ タワー,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,築10年,地下2地上40階建,29階,59.8万円,-,119.6万円,59.8万円,2SLDK,74.77m2
3769,東京メトロ東西線 飯田橋駅 地下2地上40階建 築10年,賃貸マンション,東京都千代田区富士見２,東京メトロ東西線/飯田橋駅 歩10分,築10年,地下2地上40階建,32階,35万円,30000円,35万円,17.5万円,1LDK,50.18m2
3780,ザ・パークハウスグラン千鳥ヶ淵,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,築9年,地下2地上14階建,2階,86万円,-,172万円,86万円,3LDK,108.53m2
3782,ザ・パークハウスグラン千鳥ヶ淵,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,築9年,地下2地上14階建,2階,89万円,-,178万円,89万円,3LDK,120.65m2
3792,ラクサ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩4分,築4年,10階建,9階,13.8万円,14000円,-,13.8万円,1K,27.44m2
3793,ラクサ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩4分,築4年,10階建,10階,26.9万円,19000円,26.9万円,26.9万円,2LDK,52.95m2
3798,ＮＢ秋葉原,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,築5年,12階建,2階,19.2万円,8000円,19.2万円,19.2万円,2LDK,46.1m2
3799,ＮＢ秋葉原,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩5分,築5年,12階建,10階,20.4万円,8000円,20.4万円,20.4万円,2LDK,46.1m2
3810,グランスイート六番町,賃貸マンション,東京都千代田区六番町,ＪＲ中央線/四ツ谷駅 歩4分,築16年,地下2地上9階建,1階,35万円,-,70万円,35万円,2LDK,72.34m2
3813,カーサフジマ,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩3分,築43年,9階建,3階,30万円,27200円,30万円,-,3LDK,76.59m2
3816,ＪＲ山手線 神田駅 13階建 築9年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,築9年,13階建,4階,13万円,10000円,-,13万円,1K,26.32m2
3817,ＪＲ山手線 神田駅 13階建 築9年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,築9年,13階建,7階,26.5万円,15000円,26.5万円,26.5万円,2LDK,52.18m2
3822,KDXレジデンス神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,築9年,13階建,3階,13万円,10000円,13万円,13万円,1K,26.32m2
3831,ＪＲ山手線 神田駅 12階建 新築,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,新築,12階建,8階,14万円,15000円,14万円,-,1DK,24.54m2
3832,ＪＲ山手線 神田駅 12階建 新築,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,新築,12階建,9階,17.7万円,15000円,17.7万円,-,1DK,30.51m2
3846,プレミエール一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,築17年,地下1地上14階建,10階,47.5万円,20000円,47.5万円,-,2LDK,81.51m2
3852,東京メトロ千代田線 新御茶ノ水駅 地下2地上19階建 築15年,賃貸マンション,東京都千代田区神田須田町１,東京メトロ千代田線/新御茶ノ水駅 歩6分,築15年,地下2地上19階建,6階,38.6万円,-,77.2万円,-,2LDK,63.8m2
3858,ＪＲ中央線 神田駅 12階建 築3年,賃貸マンション,東京都千代田区神田多町２,ＪＲ中央線/神田駅 歩3分,築3年,12階建,10階,37.9万円,20000円,-,37.9万円,2LDK,61.89m2
3859,ＪＲ中央線 神田駅 12階建 築3年,賃貸マンション,東京都千代田区神田多町２,ＪＲ中央線/神田駅 歩3分,築3年,12階建,12階,40.9万円,20000円,-,40.9万円,2LDK,61.89m2
3864,東京メトロ有楽町線 麹町駅 地下2地上9階建 築2年,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩3分,築2年,地下2地上9階建,7階,35万円,-,70万円,35万円,2LDK,55.68m2
3873,東京メトロ有楽町線 麹町駅 地下1地上5階建 築47年,賃貸マンション,東京都千代田区四番町,東京メトロ有楽町線/麹町駅 歩5分,築47年,地下1地上5階建,3階,35万円,-,70万円,35万円,3LDK,71.75m2
3882,クラッシィハウス大手町ザ・スイート,賃貸マンション,東京都千代田区内神田１,東京メトロ千代田線/大手町駅 歩5分,新築,13階建,3階,45万円,27000円,45万円,45万円,2LDK,56.7m2
3895,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,7階,21万円,10000円,21万円,21万円,1LDK,40.36m2
3960,レオーネ秋葉原,賃貸マンション,東京都千代田区東神田３,ＪＲ山手線/秋葉原駅 歩9分,築2年,11階建,4階,12.1万円,12000円,12.1万円,12.1万円,ワンルーム,25.57m2
3966,ミレニアムガーデンコート,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩4分,築24年,地下4地上17階建,8階,41万円,10000円,82万円,-,2LDK,87.18m2
3978,ウェリスタワー千代田岩本町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩4分,築11年,23階建,2階,15万円,10000円,15万円,15万円,1LDK,31.72m2
3979,ウェリスタワー千代田岩本町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩4分,築11年,23階建,2階,17万円,10000円,17万円,17万円,1LDK,31.72m2
3993,パレステュディオ御茶ノ水駿河台参番館,賃貸マンション,東京都千代田区神田錦町３,都営三田線/神保町駅 歩6分,築22年,10階建,8階,30万円,14900円,30万円,30万円,2LDK,89.39m2
3999,アルファグランデ千桜タワー,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩1分,築6年,25階建,23階,31.8万円,30000円,31.8万円,31.8万円,2LDK,57.31m2
4017,平河町森タワーレジデンス,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/永田町駅 歩1分,築15年,地下2地上24階建,14階,50万円,30000円,100万円,-,1LDK,77.68m2
4018,平河町森タワーレジデンス,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/永田町駅 歩1分,築15年,地下2地上24階建,16階,58万円,-,232万円,-,1LDK,77.84m2
4019,平河町森タワーレジデンス,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/永田町駅 歩1分,築15年,地下2地上24階建,14階,120万円,30000円,120万円,120万円,2LDK,131.74m2
4021,平河町森タワーレジデンス,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/永田町駅 歩1分,築15年,地下2地上24階建,22階,160万円,-,320万円,160万円,2LDK,157.19m2
4041,Ｒ７９番館大手町,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩5分,築3年,5階建,2階,11.5万円,7000円,11.5万円,-,1K,23.57m2
4042,Ｒ７９番館大手町,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩5分,築3年,5階建,4階,19.4万円,10000円,19.4万円,-,1LDK,40.17m2
4047,オーキッドレジデンス千代田岩本町,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩7分,築18年,11階建,8階,16.8万円,10000円,16.8万円,-,1SLDK,40.21m2
4050,ＣＯＮＯＥ一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩4分,築12年,10階建,9階,23万円,-,46万円,23万円,1LDK,40.65m2
4059,ＪＲ山手線 神田駅 地下1地上13階建 築6年,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/神田駅 歩9分,築6年,地下1地上13階建,2階,24万円,12000円,24万円,24万円,1LDK,54.71m2
