,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
2233,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,6階,32万円,-,32万円,32万円,2LDK,65.08m2
2274,ＪＲ中央線 神田駅 6階建 築8年,賃貸マンション,東京都千代田区神田北乗物町,ＪＲ中央線/神田駅 歩3分,築8年,6階建,6階,13万円,10000円,13万円,-,1DK,31.05m2
2286,東京メトロ銀座線 神田駅 14階建 築8年,賃貸マンション,東京都千代田区神田須田町１,東京メトロ銀座線/神田駅 歩1分,築8年,14階建,12階,18万円,20000円,-,18万円,1LDK,40.66m2
2289,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,22階,65万円,-,260万円,-,2LDK,134.65m2
2290,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,21階,65万円,-,260万円,-,2LDK,134.65m2
2293,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,24階,70万円,-,280万円,-,2LDK,134.65m2
2294,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,22階,70万円,-,280万円,-,2LDK,134.65m2
2295,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,21階,70万円,-,280万円,-,2LDK,134.65m2
2297,紀尾井町ガーデンタワー,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩2分,築35年,地下4地上26階建,26階,79万円,-,316万円,-,3LDK,151.96m2
2322,岩本町ビル,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築45年,7階建,4階,18万円,10000円,18万円,18万円,2DK,38.88m2
2341,クラッシィハウス神田美土代町,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩7分,築9年,14階建,13階,24万円,20000円,24万円,24万円,1LDK,48.23m2
2346,ブリックコート神田錦町,賃貸マンション,東京都千代田区神田錦町３,東京メトロ半蔵門線/神保町駅 歩4分,築4年,12階建,12階,20.8万円,12000円,20.8万円,41.6万円,1LDK,41.79m2
2349,グランクオール秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩4分,築3年,4階建,3階,9万円,5000円,-,9万円,1K,17.52m2
2355,東京メトロ半蔵門線 九段下駅 14階建 築12年,賃貸マンション,東京都千代田区九段北１,東京メトロ半蔵門線/九段下駅 歩2分,築12年,14階建,5階,10.9万円,12000円,10.9万円,10.9万円,1K,26.06m2
2356,東京メトロ半蔵門線 九段下駅 14階建 築12年,賃貸マンション,東京都千代田区九段北１,東京メトロ半蔵門線/九段下駅 歩2分,築12年,14階建,2階,11.5万円,14000円,11.5万円,11.5万円,1K,26.24m2
2361,東京メトロ半蔵門線 半蔵門駅 13階建 築11年,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩1分,築11年,13階建,7階,24.3万円,12000円,48.6万円,24.3万円,1LDK,51.42m2
2364,ミテッツァ千代田三崎町,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩5分,築13年,12階建,7階,15.5万円,10000円,15.5万円,15.5万円,1DK,37.95m2
2370,東京メトロ有楽町線 麹町駅 11階建 築24年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩4分,築24年,11階建,6階,42万円,-,84万円,-,1LDK,73.76m2
2371,東京メトロ有楽町線 麹町駅 11階建 築24年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩4分,築24年,11階建,11階,54万円,-,54万円,54万円,2LDK,89.48m2
